Table/View/Macro name,Kind,Comment,Protection,Creator Name,Commit Option,Transaction Log,Table/View/Macro Dictionary Name,Table/View/Macro SQL Name,Table/View/Macro Name UEscape,Creator Dictionary Name,Creator SQL Name,Creator Name UEscape
Album                         ,T,NULL,N,WINDUSER                      ,N,Y,Album,Album,,WINDUSER,WINDUSER,
Artist                        ,T,NULL,N,WINDUSER                      ,N,Y,Artist,Artist,,WINDUSER,WINDUSER,
Customer                      ,T,NULL,N,WINDUSER                      ,N,Y,Customer,Customer,,WINDUSER,WINDUSER,
Employee                      ,T,NULL,N,WINDUSER                      ,N,Y,Employee,Employee,,WINDUSER,WINDUSER,
Genre                         ,T,NULL,N,WINDUSER                      ,N,Y,Genre,Genre,,WINDUSER,WINDUSER,
Invoice                       ,T,NULL,N,WINDUSER                      ,N,Y,Invoice,Invoice,,WINDUSER,WINDUSER,
InvoiceLine                   ,T,NULL,N,WINDUSER                      ,N,Y,InvoiceLine,InvoiceLine,,WINDUSER,WINDUSER,
mComedyList                   ,M,NULL,F,DBC                           ,N,Y,mComedyList,mComedyList,,DBC,DBC,
MediaType                     ,T,NULL,N,WINDUSER                      ,N,Y,MediaType,MediaType,,WINDUSER,WINDUSER,
Playlist                      ,T,NULL,N,WINDUSER                      ,N,Y,Playlist,Playlist,,WINDUSER,WINDUSER,
PlaylistTrack                 ,T,NULL,N,WINDUSER                      ,N,Y,PlaylistTrack,PlaylistTrack,,WINDUSER,WINDUSER,
Track                         ,T,NULL,N,WINDUSER                      ,N,Y,Track,Track,,WINDUSER,WINDUSER,
vComedyTrack                  ,V,NULL,F,DBC                           ,N,Y,vComedyTrack,vComedyTrack,,DBC,DBC,
