ArtistId,trackCount,totalMinutes,avgMinutes
72,15,54.25,3.61635666666667
179,12,57.47,4.78950277777778
96,12,50.27,4.18938194444444
227,1,2.95,2.94851666666667
144,20,76.33,3.81672
88,42,205.93,4.9029876984127
203,1,5.94,5.94043333333333
99,31,136.11,4.39078279569893
275,1,3.43,3.43341666666667
230,1,3.30,3.30106666666667
21,56,233.26,4.16541994047619
139,30,128.59,4.28646833333333
238,1,6.52,6.51666666666667
246,1,2.22,2.21553333333333
56,14,48.92,3.49458571428571
83,14,47.37,3.38387619047619
91,20,70.19,3.50936833333333
155,19,67.75,3.56591228070175
115,12,60.82,5.06811111111111
16,21,79.65,3.79293095238095
24,17,61.69,3.62873137254902
214,2,7.75,3.876675
198,2,9.77,4.88701666666667
262,1,6.43,6.4251
222,1,4.32,4.3154
51,45,173.81,3.86240777777778
270,1,4.36,4.36415
158,24,1170.23,48.7595722222222
59,27,214.13,7.9308475308642
265,1,4.76,4.76121666666667
131,34,144.37,4.24619558823529
102,10,41.29,4.12895
147,20,923.49,46.1744091666667
11,18,91.79,5.09969814814815
8,40,177.59,4.43982833333333
209,1,3.32,3.3181
206,1,4.09,4.08861666666667
233,1,9.09,9.08671666666667
254,1,5.66,5.65945
70,15,54.90,3.65983333333333
19,31,122.94,3.96575860215054
118,67,275.05,4.10518009950249
217,1,5.11,5.11145
142,41,168.57,4.1115593495935
78,16,73.35,4.58445520833333
27,32,128.65,4.020440625
150,135,590.37,4.37308432098765
225,1,4.63,4.62731666666667
257,1,3.77,3.76555
249,1,2.91,2.91355
94,17,60.30,3.5471137254902
86,16,69.43,4.33942083333333
3,15,73.53,4.90189888888889
89,13,73.69,5.66836282051282
201,1,2.88,2.8785
137,19,104.43,5.49656842105263
273,1,1.11,1.11065
46,14,76.19,5.44198214285714
110,29,96.67,3.33359022988506
196,1,3.90,3.90021666666667
134,12,53.65,4.47048472222222
244,1,4.01,4.0111
241,1,8.05,8.05221666666667
268,1,4.43,4.42568333333333
54,34,118.06,3.47225441176471
81,48,208.11,4.33558263888889
126,14,47.22,3.37298928571429
153,13,56.95,4.38086025641026
22,114,668.69,5.86570380116959
14,11,61.57,5.59700303030303
57,14,55.87,3.9904130952381
212,1,2.39,2.38813333333333
236,1,4.06,4.05726666666667
121,16,49.45,3.09073958333333
260,1,9.46,9.45823333333333
156,53,1248.81,23.5624103773585
97,14,51.10,3.64967023809524
228,1,9.94,9.94198333333333
145,30,91.92,3.06401055555556
17,34,131.26,3.86060931372549
6,31,118.81,3.83246505376344
263,1,2.37,2.36801666666667
180,19,54.48,2.86759649122807
9,12,26.93,2.24405833333333
204,10,55.28,5.528175
105,10,43.38,4.33797333333333
252,23,93.00,4.04337463768116
68,37,202.18,5.46424369369369
41,14,51.60,3.68561904761905
140,11,44.50,4.04505151515152
113,49,177.45,3.62149591836735
247,2,3.38,1.69135
148,23,996.34,43.3190347826087
215,1,5.82,5.81618333333333
220,1,4.58,4.57506666666667
52,35,133.01,3.80018714285714
255,1,4.99,4.98916666666667
100,57,251.10,4.40518450292398
116,14,58.16,4.15439523809524
124,41,166.09,4.05103130081301
1,18,80.89,4.49414259259259
135,11,36.21,3.29189393939394
223,1,5.07,5.07043333333333
159,1,41.41,41.40945
271,1,8.23,8.22621666666667
207,1,8.36,8.35838333333333
36,17,73.81,4.34200294117647
231,1,2.57,2.56501666666667
108,12,44.10,3.67458611111111
266,1,5.56,5.56115
132,17,79.20,4.65885196078431
12,17,81.61,4.80070784313726
76,40,143.11,3.57771208333333
84,44,185.41,4.21385037878788
274,1,3.69,3.68885
143,26,116.78,4.49139551282051
20,10,42.66,4.26622333333333
226,3,22.26,7.41964444444444
92,32,174.59,5.45593697916667
250,1,1.69,1.68821666666667
242,1,4.25,4.24883333333333
15,11,43.95,3.99522575757576
127,48,199.21,4.15016840277778
87,12,47.44,3.95296944444444
151,14,58.72,4.19460238095238
261,1,6.07,6.0716
199,2,11.55,5.776725
122,11,44.17,4.01532878787879
234,1,5.12,5.12073333333333
103,18,57.23,3.17945648148148
258,1,1.84,1.83776666666667
138,18,64.41,3.57840648148148
95,10,37.66,3.76620666666667
210,1,3.23,3.2287
4,13,57.52,4.42426282051282
245,2,13.95,6.97485
202,1,4.45,4.44893333333333
269,1,0.86,0.863
111,15,59.91,3.99405666666667
106,15,45.59,3.03942555555556
146,38,128.88,3.39145526315789
141,14,59.65,4.26059523809524
218,1,6.54,6.54103333333333
213,1,9.70,9.70048333333333
7,8,44.52,5.56543125
157,1,5.18,5.17956666666667
55,12,60.30,5.02537083333333
229,1,2.61,2.61183333333333
79,9,57.35,6.37188888888889
264,1,6.28,6.27516666666667
253,1,3.59,3.58976666666667
101,28,107.81,3.85020595238095
114,32,174.02,5.43808802083333
125,10,28.97,2.89745
23,9,41.10,4.56653518518519
197,2,9.23,4.61573333333333
221,1,3.15,3.15013333333333
10,8,44.68,5.584425
130,23,98.13,4.26665942028986
82,52,220.20,4.23458269230769
237,1,6.77,6.76666666666667
232,1,4.23,4.23335
98,16,66.22,4.13865729166667
117,10,42.46,4.246025
272,1,2.32,2.32
50,112,648.60,5.79109077380952
133,10,41.14,4.11445166666667
248,3,14.19,4.72833888888889
205,14,54.87,3.91952261904762
13,17,53.21,3.1297931372549
18,36,120.92,3.35900138888889
85,24,75.67,3.15273680555556
90,213,1197.41,5.62165453834116
120,9,42.88,4.76414444444444
240,1,3.73,3.72638333333333
53,21,99.57,4.74146507936508
149,92,3971.31,43.1664097826087
251,1,4.22,4.22135
58,92,537.66,5.84413278985507
136,7,67.18,9.59650952380952
256,1,6.46,6.46376666666667
208,2,6.53,3.2649
93,13,48.66,3.74337179487179
69,22,77.28,3.51288712121212
2,4,20.01,5.00270833333333
243,1,6.87,6.86666666666667
200,2,6.87,3.43305833333333
267,1,4.78,4.7833
224,1,4.17,4.16718333333333
104,18,58.14,3.22974259259259
109,17,73.92,4.34820098039216
211,1,2.01,2.00771666666667
42,26,98.64,3.79365833333333
259,1,4.82,4.82313333333333
216,1,6.57,6.5747
5,12,54.16,4.51300694444444
77,30,114.65,3.82172166666667
112,14,50.33,3.59503333333333
219,1,5.64,5.63738333333333
80,26,121.42,4.66984743589744
128,14,75.81,5.41511190476191
152,52,204.95,3.94141634615385
37,14,56.83,4.05917142857143
235,1,9.34,9.33903333333333
