TrackId,trackName,AlbumId,AlbumTitle,trackCount
2108,Children Of The Grave,174,Tribute,5
698,Good Golly Miss Molly,55,"Chronicle, Vol. 2",3
2250,Nega Do Cabelo Duro,184,Os Cães Ladram Mas A Caravana Não Pára,3
530,Ando Meio Desligado,42,Minha História,2
1853,Battery,152,Master Of Puppets,2
1865,Better Than You,153,ReLoad,2
2172,Big Wave,179,Pearl Jam,2
2305,Binky The Doormat,189,New Adventures In Hi-Fi,2
2793,Cabeça Dinossauro,224,Acústico,2
449,Calling Dr. Love,37,Greatest Kiss,2
1226,Can I Play With Madness,96,A Real Live One,2
2781,Comida,224,Acústico,2
681,Commotion,54,"Chronicle, Vol. 1",2
2763,Compadre,222,Serie Sem Limite (Disc 1),2
512,Comportamento Geral,41,Meus Momentos,2
2317,Country Feedback,187,Out Of Time,2
1621,Dazed and Confused,132,Led Zeppelin I,2
2531,End Of Romanticism,204,Morning Dance,2
3064,Eruption,243,"The Best Of Van Halen, Vol. I",2
3082,Eruption,244,Van Halen,2
976,Falamansa Song,78,Deixa Entrar,2
1208,For the Greater Good of God,94,A Matter of Life and Death,2
1389,Gangland,112,The Number of The Beast,2
1169,Garden of Eden,91,Use Your Illusion I,2
1139,Give Me Novacaine,89,American Idiot,2
2329,I Believe,190,The Best Of R.E.M.: The IRS Years,2
1609,I'm Gonna Crawl,130,In Through The Out Door,2
1603,In The Evening,130,In Through The Out Door,2
1401,Judgement Of Heaven,113,The X Factor,2
1672,L'Avventura,139,A TempestadeTempestade Ou O Livro Dos Dias,2
925,Last Cup Of Sorrow,74,Album Of The Year,2
1458,Light Years,118,The Return Of The Space Cowboy,2
913,Lonely Stranger,73,Unplugged,2
2097,"Mama, I'm Coming Home",173,No More Tears (Remastered),2
780,Maybe I'm A Leo,62,Machine Head,2
1922,Menestrel Das Alagoas,158,Milton Nascimento Ao Vivo,2
2067,Mensagen De Amor (2000),168,Arquivo II,2
2085,Meu Erro,169,Arquivo Os Paralamas Do Sucesso,2
937,Midlife Crisis,75,Angel Dust,2
744,Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),57,Cássia Eller - Sem Limite [Disc 1],2
1371,Moonchild,110,Seventh Son of a Seventh Son,2
1708,Mr. Cab Driver,141,Greatest Hits,2
762,No No No,60,Fireball,2
1940,Norwegian Wood,159,Minas,2
2769,Não Quero Dinheiro,223,Serie Sem Limite (Disc 2),2
1835,Phantom Lord,150,Kill 'Em All,2
2549,Piece Of Pie,206,Core,2
2136,Plot 180,176,Original Soundtracks 1,2
2995,Pride (In The Name Of Love),237,Rattle And Hum,2
907,Promises,72,The Cream Of Clapton,2
2561,Question!,207,Mezmerize,2
1633,Ramble On,133,Led Zeppelin II,2
3025,Red Light,239,War,2
2404,Right On Time,195,Californication,2
1157,Rocket Queen,90,Appetite for Destruction,2
2073,Saber Amar,168,Arquivo II,2
443,Shock Me,37,Greatest Kiss,2
548,Smoke On The Water,43,MK III The Final Concerts [Disc 1],2
2618,Speed Of Light,212,Beyond Good And Evil,2
2636,Sun King,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",2
461,Surrender,38,Heart of the Night,2
675,Susie Q,54,"Chronicle, Vol. 1",2
693,Sweet Hitch-Hiker,54,"Chronicle, Vol. 1",2
3013,Sweetest Thing,238,The Best Of 1980-1990,2
1476,Take It Or Leave It,119,Get Born,2
2386,Tear,194,By The Way,2
1690,Tempo Perdido,140,Mais Do Mesmo,2
1377,The Clairvoyant,110,Seventh Son of a Seventh Son,2
1904,The Duke,157,Miles Ahead,2
2850,The Fix,228,"Heroes, Season 1",2
1841,The House Jack Built,151,Load,2
994,The Last Song,79,In Your Honor [Disc 1],2
705,The Midnight Special,55,"Chronicle, Vol. 2",2
3001,The Star Spangled Banner,237,Rattle And Hum,2
1244,The Thin Line Between Love & Hate,97,Brave New World,2
2832,The Woman King,227,"Battlestar Galactica, Season 3",2
1012,Times Like These,81,One By One,2
2600,Train In Vain,211,The Singles,2
2537,Travis Walk,205,In Step,2
2368,Under The Bridge,193,Blood Sugar Sex Magik,2
2299,Undertow,189,New Adventures In Hi-Fi,2
2154,Untitled,178,Live On Two Legs [Live],2
2868,Walkabout,230,"Lost, Season 1",2
2120,Walking Into Clarksdale,175,Walking Into Clarksdale,2
1440,"Whatever It Is, I Just Can't Stop",116,Emergency On Planet Earth,2
1145,Whatsername,89,American Idiot,2
473,When I Come Around,39,International Superhits,2
3100,Year to the Day,245,Van Halen III,2
